Timestamp,Alter,Geschlecht,"Bitte gib hier ein Pseudonym ein und merke dir dieses (z.B. Kürzel, Zahlencode, etc.). Damit können nach Abschluss des Projektes der eigene ""Datenpunkt"" gefunden werden. Das Pseudonym wird für Andere sichtbar sein.",Welcher Funktion an der HSD fühlst du dich am meisten zugehörig?,Welchem Studiengang fühlst du dich am meisten zugehörig?,Als wie sportlich würdest du dich einschätzen?,Welche Sportarten interessieren dich am meisten (wähle maximal 5)?,Was ist deine absolute Lieblingssportart?,Welche Rolle spielt für dich gesunde Ernährung? ,Wie gerne gehst du Essen oder Trinken?,Wie gerne kochst du selbst?,Wie gerne gehst du feiern?,Was ist dein Lieblingsessen? (nur eines angeben),Wie sehr interessierst du dich für Musik?,Was ist deine Lieblingsband bzw. dein/e Lieblings-Musiker*in? (nur eine/n angeben),Wie gerne liest Du?,"Wie sehr interessierst du dich für darstellende Künste wie Schauspiel, Tanz oder Gesang?","Wie sehr interessierst du sich für Filme, Kino, Fernsehsendungen?","Wie sehr interessierst du dich für bildende Kunst wie Malen, Zeichnen oder Fotografie?",Wie gerne besuchst du Museen?,Wie sehr interessierst du dich für Videospiele?,Wie häufig nutzt du soziale Medien?,"Wie groß ist dein Interesse an Technologie und Innovation, wie beispielsweise Programmierung, Robotik und Virtual Reality?","Wie groß ist dein Interesse an Astronomie, Weltraumforschung oder astronomiebezogenen Aktivitäten?","Wie groß ist dein Interesse an Naturwissenschaften wie Biologie, Chemie und Physik?",Wie sehr interessierst du sich für gesellschaftliches Engagement und Freiwilligenarbeit?,"Wie groß ist dein Interesse an sozialen Themen wie Vielfalt, Gleichberechtigung und soziale Gerechtigkeit?",Würdest du dich selbst als introvertiert/extrovertiert bezeichnen?,"Hast du häufig Angst etwas zu verpassen, wenn du nicht unter Menschen bist?",Wie … schätzt Du dich selbst ein? (1 gar nicht - 5 sehr) [spontan],Wie … schätzt Du dich selbst ein? (1 gar nicht - 5 sehr) [verwirrt],Wie … schätzt Du dich selbst ein? (1 gar nicht - 5 sehr) [glücklich],Wie … schätzt Du dich selbst ein? (1 gar nicht - 5 sehr) [geduldig],Wie … schätzt Du dich selbst ein? (1 gar nicht - 5 sehr) [streitlustig],Wie … schätzt Du dich selbst ein? (1 gar nicht - 5 sehr) [abenteuerlustig],"Hattest du schon einmal Zweifel daran, ob du dein Studium schaffen kannst?",Wie zufrieden bist du mit deinem Studium? ,Strebst du nach dem Studium auch weiterhin eine akademische Laufbahn an?,Wie gern lernst Du in der Gruppe?,"Prokrastinierst du, wenn du lernen müsstest?",Wie häufig machst du Abgaben auf den letzten Drücker?,Wie gerne probierst du neue Lebensmittel aus?,Wie häufig verbringst du Zeit in der Natur (z. B. beim Wandern oder Camping)?,Wie häufig verreist du?,Wie interessiert bist du an handwerklichen Tätigkeiten?,Wie gerne magst du Sprachnachrichten?,Wie wichtig ist es dir viel Geld zu verdienen?
2023/05/25 9:05:15 AM GMT+3,28,männlich,lalala-lololo,Student*in,MMI,4,Basketball;Yoga;Bouldern/Klettern;Rennrad/Mountainbike,Joggen,4,3,4,3,Vegane Lasagne,5,Kraftklub,4,3,3,3,2,2,3,4,2,2,3,3,3,3,3,4,4,4,3,3,2,4,1,5,3,2,5,5,2,2,3,3
2023/05/25 9:21:27 AM GMT+3,26,männlich,hbstr,Student*in,MMI,3,Fußball;Volleyball;Yoga;Bouldern/Klettern;Rennrad/Mountainbike,Fußball ,4,4,5,2,Butterbrot,4,Red hot Chili peppers,2,3,4,4,4,4,5,5,4,4,3,4,3,3,3,1,4,2,2,3,3,4,3,3,2,2,4,3,3,4,3,4
2023/05/25 10:10:57 AM GMT+3,24,männlich,Panda,Student*in,MMI,2,Fußball;Handball;Yoga;Tanzen;Bouldern/Klettern,-,5,4,4,3,Lasagne,5,The 1975,2,3,4,4,5,3,4,4,3,2,4,5,4,5,4,2,4,5,1,4,2,4,3,5,5,1,3,2,3,2,4,3
2023/05/30 11:25:32 PM GMT+3,23,männlich,TomTom Navigation,Student*in,MMI,5,Leichtathletik;Bouldern/Klettern;Wintersport,Trampolin,2,4,4,2,Burger,3,,3,2,4,1,3,4,2,5,2,3,4,3,3,2,2,1,5,4,2,4,3,4,2,2,2,3,5,4,4,2,3,3
2023/05/31 11:17:51 AM GMT+3,24,weiblich,LcAbrgr,Student*in,MMI,3,Bouldern/Klettern,Klettern,4,3,2,1,Dampfnudeln,3,,4,2,5,2,2,1,2,4,1,2,2,2,3,2,5,4,4,4,2,5,4,4,1,1,5,5,2,3,4,3,3,4
2023/05/31 4:10:09 PM GMT+3,30,männlich,242,Student*in,MMI,4,Bouldern/Klettern,Bouldern,3,3,5,4,Pho,2,-,2,1,3,1,1,5,4,5,3,3,3,3,5,4,5,1,4,3,2,5,1,5,1,3,2,1,4,4,5,3,3,3
2023/05/31 5:54:47 PM GMT+3,41,weiblich,3186,Student*in,MMI,3,Tanzen,Chillen,2,5,3,3,Tomaten,5,Pugliese,4,5,5,5,3,1,4,5,1,3,2,3,4,4,4,1,4,2,1,2,1,4,3,1,3,3,2,4,5,4,1,3
2023/05/31 7:00:56 PM GMT+3,24,männlich,air-oughtest-wood-abate,Student*in,MMI,3,Fußball;Volleyball,Fußball,3,4,5,3,Pasta,4,Green Day,4,1,3,4,4,4,4,4,2,2,3,4,2,3,4,4,4,4,3,5,2,4,2,4,4,3,5,4,5,4,2,2
2023/06/01 10:36:33 PM GMT+3,42,männlich,one_more_datapoint,Dozent*in,DAISY,3,Basketball;Fußball;Leichtathletik;Schwimmen;Rennrad/Mountainbike,Schnorcheln,3,5,5,3,Pizza,4,Pete Philly,4,4,3,4,4,3,2,5,2,5,4,5,3,4,2,3,5,4,1,3,3,3,5,3,1,4,4,2,2,3,1,3
2023/06/02 4:04:27 PM GMT+3,34,männlich,Quantum342 (ChatGPT),Wissenschaftliche*r Mitarbeiter*in,BMI,4,Tennis;Bouldern/Klettern;Schwimmen;Wassersport;Rennrad/Mountainbike,Tennis,4,4,3,2,Sushi,4,Radiohead,3,2,4,3,3,3,4,5,4,5,4,5,3,2,4,2,4,3,1,3,3,4,4,3,3,2,4,3,3,4,2,2
